raw_availability_id,external_accommodation_id,availability_date,is_closed,allocation,booked_by_customer,booked_by_owner,actual_available,potential_available,load_ts,source_file
1,ACC2036,2024-01-01 00:00:00,N,2,0,1,1,2,2024-07-26 00:00:00,availability_202401.csv
2,ACC2036,2024-01-02 00:00:00,N,2,1,0,1,1,2024-01-18 00:00:00,availability_202401.csv
3,ACC2036,2024-01-03 00:00:00,N,1,0,0,1,2,2024-06-12 00:00:00,availability_202401.csv
4,ACC2036,2024-01-04 00:00:00,N,2,1,0,1,1,2024-05-01 00:00:00,availability_202401.csv
5,ACC2036,2024-01-05 00:00:00,N,3,0,0,3,4,2024-08-12 00:00:00,availability_202401.csv
6,ACC2036,2024-01-06 00:00:00,N,2,2,1,0,0,2024-05-16 00:00:00,availability_202401.csv
7,ACC2036,2024-01-07 00:00:00,N,3,3,0,0,1,2024-08-26 00:00:00,availability_202401.csv
8,ACC2036,2024-01-08 00:00:00,N,1,0,1,0,1,2024-09-01 00:00:00,availability_202401.csv
9,ACC2036,2024-01-09 00:00:00,N,2,2,1,0,1,2024-06-10 00:00:00,availability_202401.csv
10,ACC2036,2024-01-10 00:00:00,N,1,1,1,0,1,2024-08-15 00:00:00,availability_202401.csv
11,ACC2036,2024-01-11 00:00:00,N,3,2,1,0,0,2024-06-14 00:00:00,availability_202401.csv
12,ACC2036,2024-01-12 00:00:00,N,1,1,0,0,1,2024-02-23 00:00:00,availability_202401.csv
13,ACC2036,2024-01-13 00:00:00,N,1,0,1,0,1,2024-05-07 00:00:00,availability_202401.csv
14,ACC2036,2024-01-14 00:00:00,N,1,1,0,0,1,2024-05-26 00:00:00,availability_202401.csv
15,ACC2036,2024-01-15 00:00:00,N,3,3,1,0,1,2024-01-31 00:00:00,availability_202401.csv
16,ACC2036,2024-01-16 00:00:00,N,3,3,0,0,0,2024-09-15 00:00:00,availability_202401.csv
17,ACC2036,2024-01-17 00:00:00,N,3,1,0,2,2,2024-05-12 00:00:00,availability_202401.csv
18,ACC2036,2024-01-18 00:00:00,N,2,1,0,1,2,2024-06-12 00:00:00,availability_202401.csv
19,ACC2036,2024-01-19 00:00:00,N,3,3,0,0,1,2024-06-25 00:00:00,availability_202401.csv
20,ACC2036,2024-01-20 00:00:00,N,2,0,0,2,2,2024-05-05 00:00:00,availability_202401.csv
21,ACC2036,2024-01-21 00:00:00,N,2,2,1,0,1,2024-08-19 00:00:00,availability_202401.csv
22,ACC2036,2024-01-22 00:00:00,N,1,1,0,0,1,2024-08-28 00:00:00,availability_202401.csv
23,ACC2036,2024-01-23 00:00:00,N,3,1,1,1,1,2024-11-23 00:00:00,availability_202401.csv
24,ACC2036,2024-01-24 00:00:00,N,1,0,1,0,0,2024-08-25 00:00:00,availability_202401.csv
25,ACC2036,2024-01-25 00:00:00,N,1,1,0,0,1,2024-03-23 00:00:00,availability_202401.csv
26,ACC2036,2024-01-26 00:00:00,N,3,3,1,0,1,2024-09-03 00:00:00,availability_202401.csv
27,ACC2036,2024-01-27 00:00:00,N,2,2,0,0,0,2024-11-19 00:00:00,availability_202401.csv
28,ACC2036,2024-01-28 00:00:00,N,2,0,0,2,3,2024-11-29 00:00:00,availability_202401.csv
29,ACC2036,2024-01-29 00:00:00,N,2,1,1,0,0,2024-07-30 00:00:00,availability_202401.csv
30,ACC2036,2024-01-30 00:00:00,N,3,0,0,3,3,2024-04-01 00:00:00,availability_202401.csv
31,ACC2036,2024-01-31 00:00:00,N,3,2,0,1,1,2024-12-25 00:00:00,availability_202401.csv
32,ACC2036,2024-02-01 00:00:00,N,1,0,0,1,2,2024-04-04 00:00:00,availability_202402.csv
33,ACC2036,2024-02-02 00:00:00,N,2,0,1,1,1,2024-09-13 00:00:00,availability_202402.csv
34,ACC2036,2024-02-03 00:00:00,N,2,1,1,0,0,2024-10-03 00:00:00,availability_202402.csv
35,ACC2036,2024-02-04 00:00:00,N,3,1,1,1,1,2024-02-13 00:00:00,availability_202402.csv
36,ACC2036,2024-02-05 00:00:00,N,2,0,0,2,3,2024-07-24 00:00:00,availability_202402.csv
37,ACC2036,2024-02-06 00:00:00,N,1,0,0,1,1,2024-09-15 00:00:00,availability_202402.csv
38,ACC2036,2024-02-07 00:00:00,N,1,1,1,0,1,2024-11-09 00:00:00,availability_202402.csv
39,ACC2036,2024-02-08 00:00:00,N,1,1,1,0,1,2024-07-03 00:00:00,availability_202402.csv
40,ACC2036,2024-02-09 00:00:00,N,2,0,1,1,2,2024-11-30 00:00:00,availability_202402.csv
41,ACC2036,2024-02-10 00:00:00,N,1,0,0,1,2,2024-01-31 00:00:00,availability_202402.csv
42,ACC2036,2024-02-11 00:00:00,N,3,3,0,0,1,2024-10-01 00:00:00,availability_202402.csv
43,ACC2036,2024-02-12 00:00:00,N,2,1,1,0,0,2024-06-01 00:00:00,availability_202402.csv
44,ACC2036,2024-02-13 00:00:00,N,2,1,0,1,1,2024-04-17 00:00:00,availability_202402.csv
45,ACC2036,2024-02-14 00:00:00,N,1,0,1,0,0,2024-09-23 00:00:00,availability_202402.csv
46,ACC2036,2024-02-15 00:00:00,N,3,2,1,0,0,2024-07-20 00:00:00,availability_202402.csv
47,ACC2036,2024-02-16 00:00:00,N,1,0,1,0,0,2024-10-10 00:00:00,availability_202402.csv
48,ACC2036,2024-02-17 00:00:00,N,2,1,0,1,1,2024-07-20 00:00:00,availability_202402.csv
49,ACC2036,2024-02-18 00:00:00,N,1,0,0,1,2,2024-06-08 00:00:00,availability_202402.csv
50,ACC2036,2024-02-19 00:00:00,N,3,0,1,2,3,2024-05-24 00:00:00,availability_202402.csv
51,ACC2036,2024-02-20 00:00:00,N,3,0,0,3,3,2024-05-10 00:00:00,availability_202402.csv
52,ACC2036,2024-02-21 00:00:00,N,3,1,0,2,2,2024-02-01 00:00:00,availability_202402.csv
53,ACC2036,2024-02-22 00:00:00,N,3,0,1,2,3,2024-08-08 00:00:00,availability_202402.csv
54,ACC2036,2024-02-23 00:00:00,N,1,0,1,0,1,2024-06-05 00:00:00,availability_202402.csv
55,ACC2036,2024-02-24 00:00:00,N,1,1,0,0,1,2024-08-20 00:00:00,availability_202402.csv
