raw_component_id,raw_booking_id,external_booking_id,component_type,component_reference,component_name,external_accommodation_id,external_supplier_id,start_date,end_date,created_ts,cancelled_ts,cancellation_notes,duration_days,sequence,price,cost,price_currency,cost_currency,price_fx_rate,cost_fx_rate,adults,children,infants,status,load_ts,source_file
1,1,BK900001,Accommodation,COMP-0000001,Accommodation - Premium,ACC2032,SUP5001,2023-09-27 21:00:00,2023-10-01 21:00:00,2023-07-30 00:00:00,,,4,1,8050.61,6017.65,USD,EUR,1.08039,1.0,3,2,0,Checked-In,2023-07-30 00:00:00,bookings_202307.csv
2,1,BK900001,Restaurant,COMP-0000002,Restaurant - Premium,,SUP5002,2023-09-27 21:00:00,2023-09-28 00:00:00,2023-07-30 00:00:00,,,0,2,2643.2,1522.19,GBP,EUR,0.99399,1.0,3,2,0,Confirmed,2023-07-30 00:00:00,bookings_202307.csv
3,2,BK900002,Accommodation,COMP-0000003,Accommodation - Deluxe,ACC2044,SUP5001,2023-05-06 21:00:00,2023-05-10 21:00:00,2023-03-13 00:00:00,,,4,1,1781.63,999.46,EUR,EUR,1.0,1.0,1,0,1,Checked-Out,2023-03-13 00:00:00,bookings_202303.csv
4,2,BK900002,Parking,COMP-0000004,Parking - Deluxe,,SUP5003,2023-05-06 21:00:00,2023-05-07 00:00:00,2023-03-13 00:00:00,,,0,2,781.64,471.02,EUR,EUR,1.0,1.0,1,0,1,Confirmed,2023-03-13 00:00:00,bookings_202303.csv
5,2,BK900002,Laundry,COMP-0000005,Laundry - Premium,,SUP5002,2023-05-06 21:00:00,2023-05-06 23:00:00,2023-03-13 00:00:00,,,0,3,539.62,363.38,EUR,EUR,1.0,1.0,1,0,1,Checked-Out,2023-03-13 00:00:00,bookings_202303.csv
6,3,BK900003,Accommodation,COMP-0000006,Accommodation - Standard,ACC2001,SUP5003,2024-09-20 07:00:00,2024-09-22 07:00:00,2024-05-15 00:00:00,2024-05-17 07:00:00,Medical,2,1,2068.59,1297.95,EUR,EUR,1.0,1.0,2,0,0,Cancelled,2024-05-15 00:00:00,bookings_202405.csv
7,3,BK900003,Transfer,COMP-0000007,Transfer - Standard,,SUP5006,2024-09-20 07:00:00,2024-09-20 11:00:00,2024-05-15 00:00:00,2024-05-17 07:00:00,Medical,0,2,638.14,492.82,EUR,EUR,1.0,1.0,2,0,0,Cancelled,2024-05-15 00:00:00,bookings_202405.csv
8,4,BK900004,Accommodation,COMP-0000008,Accommodation - Premium,ACC2017,SUP5006,2025-01-22 14:00:00,2025-01-26 14:00:00,2024-11-10 00:00:00,,,4,1,10454.4,7033.85,EUR,EUR,1.0,1.0,4,0,0,Confirmed,2024-11-10 00:00:00,bookings_202411.csv
9,4,BK900004,Minibar,COMP-0000009,Minibar - Premium,,SUP5002,2025-01-22 14:00:00,2025-01-22 17:00:00,2024-11-10 00:00:00,,,0,2,6138.76,3590.43,EUR,EUR,1.0,1.0,4,0,0,Checked-In,2024-11-10 00:00:00,bookings_202411.csv
10,5,BK900005,Accommodation,COMP-0000010,Accommodation - Premium,ACC2002,SUP5006,2023-08-05 04:00:00,2023-08-07 04:00:00,2023-06-01 00:00:00,,,2,1,789.85,585.92,GBP,EUR,0.99748,1.0,1,0,1,Checked-In,2023-06-01 00:00:00,bookings_202306.csv
11,6,BK900006,Accommodation,COMP-0000011,Accommodation - Standard,ACC2057,SUP5003,2024-09-05 22:00:00,2024-09-09 22:00:00,2024-06-23 00:00:00,,,4,1,6613.31,4904.16,GBP,EUR,1.02765,1.0,2,2,1,Checked-Out,2024-06-23 00:00:00,bookings_202406.csv
12,7,BK900007,Accommodation,COMP-0000012,Accommodation - Deluxe,ACC2008,SUP5005,2023-02-24 15:00:00,2023-03-03 15:00:00,2023-01-09 00:00:00,,,7,1,4953.5,2901.45,EUR,EUR,1.0,1.0,2,0,0,Checked-In,2023-01-09 00:00:00,bookings_202301.csv
13,8,BK900008,Accommodation,COMP-0000013,Accommodation - Standard,ACC2032,SUP5004,2024-03-06 00:00:00,2024-03-10 00:00:00,2023-11-10 00:00:00,,,4,1,926.17,674.84,EUR,EUR,1.0,1.0,1,0,0,Confirmed,2023-11-10 00:00:00,bookings_202311.csv
14,9,BK900009,Accommodation,COMP-0000014,Accommodation - Premium,ACC2028,SUP5006,2024-11-11 10:00:00,2024-11-14 10:00:00,2024-08-22 00:00:00,2024-09-21 10:00:00,Price,3,1,2648.74,1905.22,EUR,EUR,1.0,1.0,2,0,1,Cancelled,2024-08-22 00:00:00,bookings_202408.csv
15,9,BK900009,Spa,COMP-0000015,Spa - Premium,,SUP5003,2024-11-11 10:00:00,2024-11-11 14:00:00,2024-08-22 00:00:00,2024-09-21 10:00:00,Price,0,2,873.62,573.93,GBP,EUR,1.02405,1.0,2,0,1,Cancelled,2024-08-22 00:00:00,bookings_202408.csv
16,9,BK900009,Spa,COMP-0000016,Spa - Premium,,SUP5006,2024-11-11 10:00:00,2024-11-11 14:00:00,2024-08-22 00:00:00,2024-09-21 10:00:00,Price,0,3,787.43,610.41,EUR,EUR,1.0,1.0,2,0,1,Cancelled,2024-08-22 00:00:00,bookings_202408.csv
17,10,BK900010,Accommodation,COMP-0000017,Accommodation - Deluxe,ACC2057,SUP5006,2024-01-24 17:00:00,2024-01-27 17:00:00,2023-11-27 00:00:00,,,3,1,2128.9,1443.12,EUR,EUR,1.0,1.0,2,0,0,Checked-Out,2023-11-27 00:00:00,bookings_202311.csv
18,11,BK900011,Accommodation,COMP-0000018,Accommodation - Premium,ACC2029,SUP5002,2025-04-26 16:00:00,2025-04-30 16:00:00,2024-12-11 00:00:00,,,4,1,6708.71,4489.38,USD,EUR,0.97712,1.0,2,1,1,Checked-Out,2024-12-11 00:00:00,bookings_202412.csv
19,12,BK900012,Accommodation,COMP-0000019,Accommodation - Deluxe,ACC2038,SUP5001,2024-07-18 23:00:00,2024-08-01 23:00:00,2024-06-08 00:00:00,,,14,1,19227.44,11117.54,EUR,EUR,1.0,1.0,2,0,0,Checked-Out,2024-06-08 00:00:00,bookings_202406.csv
20,13,BK900013,Accommodation,COMP-0000020,Accommodation - Deluxe,ACC2007,SUP5004,2024-02-27 12:00:00,2024-03-12 12:00:00,2023-12-08 00:00:00,,,14,1,18920.76,10490.39,EUR,EUR,1.0,1.0,2,0,0,Checked-In,2023-12-08 00:00:00,bookings_202312.csv
21,14,BK900014,Accommodation,COMP-0000021,Accommodation - Premium,ACC2015,SUP5001,2025-02-14 19:00:00,2025-02-17 19:00:00,2024-11-22 00:00:00,,,3,1,643.76,451.65,EUR,EUR,1.0,1.0,1,1,0,Checked-In,2024-11-22 00:00:00,bookings_202411.csv
22,15,BK900015,Accommodation,COMP-0000022,Accommodation - Deluxe,ACC2054,SUP5004,2024-09-18 08:00:00,2024-09-19 08:00:00,2024-06-01 00:00:00,,,1,1,1708.5,1309.1,GBP,EUR,0.95855,1.0,2,1,1,Confirmed,2024-06-01 00:00:00,bookings_202406.csv
23,16,BK900016,Accommodation,COMP-0000023,Accommodation - Standard,ACC2010,SUP5006,2024-12-25 06:00:00,2025-01-04 06:00:00,2024-11-04 00:00:00,,,10,1,9682.6,6534.68,GBP,EUR,1.07995,1.0,2,0,1,Checked-Out,2024-11-04 00:00:00,bookings_202411.csv
24,16,BK900016,Transfer,COMP-0000024,Transfer - Deluxe,,SUP5006,2024-12-25 06:00:00,2024-12-25 08:00:00,2024-11-04 00:00:00,,,0,2,5786.12,3711.85,EUR,EUR,1.0,1.0,2,0,1,Checked-Out,2024-11-04 00:00:00,bookings_202411.csv
25,17,BK900017,Accommodation,COMP-0000025,Accommodation - Deluxe,ACC2027,SUP5002,2024-03-25 18:00:00,2024-03-28 18:00:00,2024-03-11 00:00:00,,,3,1,3347.27,2464.92,GBP,EUR,0.98636,1.0,2,1,0,Checked-Out,2024-03-11 00:00:00,bookings_202403.csv
26,17,BK900017,Laundry,COMP-0000026,Laundry - Premium,,SUP5004,2024-03-25 18:00:00,2024-03-25 22:00:00,2024-03-11 00:00:00,,,0,2,984.46,767.47,EUR,EUR,1.0,1.0,2,1,0,Checked-In,2024-03-11 00:00:00,bookings_202403.csv
27,18,BK900018,Accommodation,COMP-0000027,Accommodation - Standard,ACC2018,SUP5005,2023-04-18 20:00:00,2023-04-28 20:00:00,2023-01-10 00:00:00,,,10,1,15903.7,11319.35,USD,EUR,0.99803,1.0,2,0,0,Checked-Out,2023-01-10 00:00:00,bookings_202301.csv
28,19,BK900019,Accommodation,COMP-0000028,Accommodation - Premium,ACC2046,SUP5005,2023-11-16 11:00:00,2023-11-19 11:00:00,2023-05-24 00:00:00,,,3,1,2518.22,1461.96,EUR,EUR,1.0,1.0,1,1,1,Confirmed,2023-05-24 00:00:00,bookings_202305.csv
29,20,BK900020,Accommodation,COMP-0000029,Accommodation - Standard,ACC2040,SUP5003,2024-03-07 08:00:00,2024-03-08 08:00:00,2024-02-18 00:00:00,,,1,1,620.31,374.05,EUR,EUR,1.0,1.0,1,0,0,Checked-In,2024-02-18 00:00:00,bookings_202402.csv
30,21,BK900021,Accommodation,COMP-0000030,Accommodation - Deluxe,ACC2060,SUP5002,2023-08-17 07:00:00,2023-08-20 07:00:00,2023-03-07 00:00:00,2023-04-04 07:00:00,Change of plans,3,1,6233.42,3535.06,EUR,EUR,1.0,1.0,3,0,1,Cancelled,2023-03-07 00:00:00,bookings_202303.csv
31,22,BK900022,Accommodation,COMP-0000031,Accommodation - Premium,ACC2017,SUP5003,2024-11-15 08:00:00,2024-11-18 08:00:00,2024-05-17 00:00:00,,,3,1,6568.27,4988.46,EUR,EUR,1.0,1.0,3,0,1,Checked-In,2024-05-17 00:00:00,bookings_202405.csv
32,22,BK900022,Transfer,COMP-0000032,Transfer - Premium,,SUP5004,2024-11-15 08:00:00,2024-11-15 10:00:00,2024-05-17 00:00:00,,,0,2,5295.95,3188.92,EUR,EUR,1.0,1.0,3,0,1,Checked-In,2024-05-17 00:00:00,bookings_202405.csv
33,23,BK900023,Accommodation,COMP-0000033,Accommodation - Deluxe,ACC2050,SUP5004,2024-07-20 00:00:00,2024-07-22 00:00:00,2024-02-22 00:00:00,,,2,1,1621.03,1103.25,EUR,EUR,1.0,1.0,3,2,1,Checked-Out,2024-02-22 00:00:00,bookings_202402.csv
34,23,BK900023,Minibar,COMP-0000034,Minibar - Premium,,SUP5006,2024-07-20 00:00:00,2024-07-20 01:00:00,2024-02-22 00:00:00,,,0,2,1292.93,769.4,EUR,EUR,1.0,1.0,3,2,1,Checked-In,2024-02-22 00:00:00,bookings_202402.csv
35,23,BK900023,Laundry,COMP-0000035,Laundry - Deluxe,,SUP5006,2024-07-20 00:00:00,2024-07-20 04:00:00,2024-02-22 00:00:00,,,0,3,451.97,286.44,EUR,EUR,1.0,1.0,3,2,1,Confirmed,2024-02-22 00:00:00,bookings_202402.csv
36,24,BK900024,Accommodation,COMP-0000036,Accommodation - Premium,ACC2025,SUP5005,2023-04-13 00:00:00,2023-04-15 00:00:00,2023-03-14 00:00:00,,,2,1,1990.3,1472.03,EUR,EUR,1.0,1.0,2,0,0,Confirmed,2023-03-14 00:00:00,bookings_202303.csv
37,24,BK900024,Laundry,COMP-0000037,Laundry - Standard,,SUP5004,2023-04-13 00:00:00,2023-04-13 03:00:00,2023-03-14 00:00:00,,,0,2,817.31,618.13,EUR,EUR,1.0,1.0,2,0,0,Checked-In,2023-03-14 00:00:00,bookings_202303.csv
38,25,BK900025,Accommodation,COMP-0000038,Accommodation - Standard,ACC2056,SUP5005,2023-07-08 12:00:00,2023-07-18 12:00:00,2023-06-11 00:00:00,,,10,1,16970.2,10857.16,EUR,EUR,1.0,1.0,4,2,0,Confirmed,2023-06-11 00:00:00,bookings_202306.csv
