raw_booking_id,source_system,external_booking_id,booking_reference,external_customer_id,brochure,brand,created_ts,cancelled_ts,cancellation_reason,confirmed_ts,accommodation_start,accommodation_end,component_start,component_end,total_price,total_cost,credit_card_fee,booking_fee,cancellation_fee,adults,children,infants,is_owner_booking,booking_channel,channel_group,channel_reference,external_accommodation_id,load_ts,source_file
1,ProtelPMS,BK900001,BHG-2024-000001,CUST100275,BRO-CHÂ-AUT24,Château Moderne,2023-07-30 00:00:00,,,2023-07-30 21:00:00,2023-09-27 21:00:00,2023-10-01 21:00:00,2023-09-27 21:00:00,2023-10-01 21:00:00,9471.31,5414.52,213.56,31.52,0.0,3,2,0,N,GDS,Direct,CH-3789,ACC2032,2023-07-30 00:00:00,bookings_202307.csv
2,Micros,BK900002,BHG-2024-000002,CUST100323,BRO-CHÂ-WIN24,Château Moderne,2023-03-13 00:00:00,,,2023-03-13 21:00:00,2023-05-06 21:00:00,2023-05-10 21:00:00,2023-05-06 21:00:00,2023-05-10 21:00:00,2096.04,1162.86,62.08,39.66,0.0,1,0,1,N,OTA,Indirect,CH-8763,ACC2044,2023-03-13 00:00:00,bookings_202303.csv
3,Mews,BK900003,BHG-2024-000003,CUST100598,BRO-MAI-SPR24,Maison Royale,2024-05-15 00:00:00,2024-05-17 07:00:00,Medical,2024-05-16 07:00:00,2024-09-20 07:00:00,2024-09-22 07:00:00,2024-09-20 07:00:00,2024-09-22 07:00:00,2433.63,1432.14,41.86,4.23,486.73,2,0,0,Y,Corporate,Corporate,CH-6747,ACC2001,2024-05-15 00:00:00,bookings_202405.csv
4,ProtelPMS,BK900004,BHG-2024-000004,CUST100559,BRO-CHÂ-AUT24,Château Moderne,2024-11-10 00:00:00,,,2024-11-12 14:00:00,2025-01-22 14:00:00,2025-01-26 14:00:00,2025-01-22 14:00:00,2025-01-26 14:00:00,12299.3,9286.16,327.38,38.56,0.0,4,0,0,N,Travel Agent,Corporate,CH-9508,ACC2017,2024-11-10 00:00:00,bookings_202411.csv
5,ProtelPMS,BK900005,BHG-2024-000005,CUST100656,BRO-CHÂ-SUM24,Château Moderne,2023-06-01 00:00:00,,,2023-06-03 04:00:00,2023-08-05 04:00:00,2023-08-07 04:00:00,2023-08-05 04:00:00,2023-08-07 04:00:00,929.23,670.16,16.64,42.97,0.0,1,0,1,N,GDS,Corporate,CH-9927,ACC2002,2023-06-01 00:00:00,bookings_202306.csv
6,ProtelPMS,BK900006,BHG-2024-000006,CUST100461,BRO-MAI-SPR24,Maison Royale,2024-06-23 00:00:00,,,2024-06-23 22:00:00,2024-09-05 22:00:00,2024-09-09 22:00:00,2024-09-05 22:00:00,2024-09-09 22:00:00,7780.37,4773.54,138.95,26.08,0.0,2,2,1,N,Corporate,Indirect,CH-6685,ACC2057,2024-06-23 00:00:00,bookings_202406.csv
7,Micros,BK900007,BHG-2024-000007,CUST100296,BRO-GRA-SUM24,Grand Palais,2023-01-09 00:00:00,,,2023-01-11 15:00:00,2023-02-24 15:00:00,2023-03-03 15:00:00,2023-02-24 15:00:00,2023-03-03 15:00:00,5827.65,3591.58,157.33,0.7,0.0,2,0,0,N,Travel Agent,Corporate,CH-3022,ACC2008,2023-01-09 00:00:00,bookings_202301.csv
8,ProtelPMS,BK900008,BHG-2024-000008,CUST100055,BRO-CHÂ-WIN24,Château Moderne,2023-11-10 00:00:00,,,2023-11-10 00:00:00,2024-03-06 00:00:00,2024-03-10 00:00:00,2024-03-06 00:00:00,2024-03-10 00:00:00,1089.61,819.5,29.18,22.59,0.0,1,0,0,N,GDS,Indirect,CH-3337,ACC2032,2023-11-10 00:00:00,bookings_202311.csv
9,ProtelPMS,BK900009,BHG-2024-000009,CUST100202,BRO-GRA-SPR24,Grand Palais,2024-08-22 00:00:00,2024-09-21 10:00:00,Price,2024-08-22 10:00:00,2024-11-11 10:00:00,2024-11-14 10:00:00,2024-11-11 10:00:00,2024-11-14 10:00:00,3116.17,2406.89,51.33,11.76,623.23,2,0,1,N,Telephone,Corporate,CH-8140,ACC2028,2024-08-22 00:00:00,bookings_202408.csv
10,Micros,BK900010,BHG-2024-000010,CUST100696,BRO-MAI-WIN24,Maison Royale,2023-11-27 00:00:00,,,2023-11-27 17:00:00,2024-01-24 17:00:00,2024-01-27 17:00:00,2024-01-24 17:00:00,2024-01-27 17:00:00,2504.59,1548.81,72.4,20.75,0.0,2,0,0,Y,Corporate,Direct,CH-3270,ACC2057,2023-11-27 00:00:00,bookings_202311.csv
11,Micros,BK900011,BHG-2024-000011,CUST100540,BRO-CHÂ-AUT24,Château Moderne,2024-12-11 00:00:00,,,2024-12-12 16:00:00,2025-04-26 16:00:00,2025-04-30 16:00:00,2025-04-26 16:00:00,2025-04-30 16:00:00,7892.6,5178.3,226.43,1.19,0.0,2,1,1,N,Telephone,Corporate,CH-5954,ACC2029,2024-12-11 00:00:00,bookings_202412.csv
12,Mews,BK900012,BHG-2024-000012,CUST100249,BRO-CHÂ-AUT24,Château Moderne,2024-06-08 00:00:00,,,2024-06-09 23:00:00,2024-07-18 23:00:00,2024-08-01 23:00:00,2024-07-18 23:00:00,2024-08-01 23:00:00,22620.52,14484.18,476.03,0.27,0.0,2,0,0,N,Web,Direct,CH-5426,ACC2038,2024-06-08 00:00:00,bookings_202406.csv
13,Micros,BK900013,BHG-2024-000013,CUST100666,BRO-CHÂ-WIN24,Château Moderne,2023-12-08 00:00:00,,,2023-12-08 12:00:00,2024-02-27 12:00:00,2024-03-12 12:00:00,2024-02-27 12:00:00,2024-03-12 12:00:00,22259.72,15695.66,580.77,2.39,0.0,2,0,0,N,OTA,Corporate,CH-9115,ACC2007,2023-12-08 00:00:00,bookings_202312.csv
14,Micros,BK900014,BHG-2024-000014,CUST100140,BRO-GRA-SUM24,Grand Palais,2024-11-22 00:00:00,,,2024-11-22 19:00:00,2025-02-14 19:00:00,2025-02-17 19:00:00,2025-02-14 19:00:00,2025-02-17 19:00:00,757.36,416.55,18.22,5.45,0.0,1,1,0,N,Telephone,Direct,CH-8761,ACC2015,2024-11-22 00:00:00,bookings_202411.csv
15,Mews,BK900015,BHG-2024-000015,CUST100026,BRO-GRA-AUT24,Grand Palais,2024-06-01 00:00:00,,,2024-06-03 08:00:00,2024-09-18 08:00:00,2024-09-19 08:00:00,2024-09-18 08:00:00,2024-09-19 08:00:00,2010.0,1484.71,55.53,24.6,0.0,2,1,1,N,Corporate,Direct,CH-1354,ACC2054,2024-06-01 00:00:00,bookings_202406.csv
16,ProtelPMS,BK900016,BHG-2024-000016,CUST100190,BRO-GRA-SPR24,Grand Palais,2024-11-04 00:00:00,,,2024-11-05 06:00:00,2024-12-25 06:00:00,2025-01-04 06:00:00,2024-12-25 06:00:00,2025-01-04 06:00:00,11391.29,7023.57,187.96,26.49,0.0,2,0,1,N,Corporate,Indirect,CH-2758,ACC2010,2024-11-04 00:00:00,bookings_202411.csv
17,Micros,BK900017,BHG-2024-000017,CUST100476,BRO-CHÂ-AUT24,Château Moderne,2024-03-11 00:00:00,,,2024-03-11 18:00:00,2024-03-25 18:00:00,2024-03-28 18:00:00,2024-03-25 18:00:00,2024-03-28 18:00:00,3937.96,2196.75,97.49,29.57,0.0,2,1,0,N,Travel Agent,Direct,CH-8666,ACC2027,2024-03-11 00:00:00,bookings_202403.csv
18,Micros,BK900018,BHG-2024-000018,CUST100470,BRO-GRA-WIN24,Grand Palais,2023-01-10 00:00:00,,,2023-01-10 20:00:00,2023-04-18 20:00:00,2023-04-28 20:00:00,2023-04-18 20:00:00,2023-04-28 20:00:00,18710.23,12550.13,424.64,7.85,0.0,2,0,0,N,GDS,Corporate,CH-6558,ACC2018,2023-01-10 00:00:00,bookings_202301.csv
19,Micros,BK900019,BHG-2024-000019,CUST100471,BRO-CHÂ-SPR24,Château Moderne,2023-05-24 00:00:00,,,2023-05-25 11:00:00,2023-11-16 11:00:00,2023-11-19 11:00:00,2023-11-16 11:00:00,2023-11-19 11:00:00,2962.61,2042.26,52.45,31.88,0.0,1,1,1,N,GDS,Indirect,CH-6703,ACC2046,2023-05-24 00:00:00,bookings_202305.csv
20,ProtelPMS,BK900020,BHG-2024-000020,CUST100599,BRO-GRA-WIN24,Grand Palais,2024-02-18 00:00:00,,,2024-02-18 08:00:00,2024-03-07 08:00:00,2024-03-08 08:00:00,2024-03-07 08:00:00,2024-03-08 08:00:00,729.78,485.21,18.38,14.56,0.0,1,0,0,N,Web,Direct,CH-7292,ACC2040,2024-02-18 00:00:00,bookings_202402.csv
